study_accession,query_accession,country
mgp81260,mgm4755596.3,Tanzania
mgp81260,mgm4756140.3,Tanzania
mgp81260,mgm4755583.3,Tanzania
mgp81260,mgm4755611.3,Tanzania
mgp81260,mgm4755614.3,Tanzania
mgp81260,mgm4755578.3,Tanzania
mgp81260,mgm4755585.3,Tanzania
mgp81260,mgm4755597.3,Tanzania
mgp81260,mgm4755588.3,Tanzania
mgp81260,mgm4755615.3,Tanzania
mgp81260,mgm4755579.3,Tanzania
mgp81260,mgm4756143.3,Tanzania
mgp81260,mgm4756141.3,Tanzania
mgp81260,mgm4755600.3,Tanzania
mgp81260,mgm4755951.3,Tanzania
mgp81260,mgm4755949.3,Tanzania
mgp81260,mgm4755589.3,Tanzania
mgp81260,mgm4755952.3,Tanzania
mgp81260,mgm4755612.3,Tanzania
mgp81260,mgm4755580.3,Tanzania
mgp81260,mgm4755613.3,Tanzania
mgp81260,mgm4755610.3,Tanzania
mgp81260,mgm4755950.3,Tanzania
mgp81260,mgm4756142.3,Tanzania
mgp81260,mgm4756144.3,Tanzania
mgp81260,mgm4755582.3,Tanzania
mgp81260,mgm4755598.3,Tanzania
mgp81260,mgm4756145.3,Tanzania
mgp81260,mgm4756139.3,Tanzania
mgp81260,mgm4755584.3,Tanzania
mgp81260,mgm4755586.3,Tanzania
mgp81260,mgm4754671.3,Tanzania
mgp81260,mgm4755599.3,Tanzania
mgp81260,mgm4755581.3,Tanzania
mgp81260,mgm4754670.3,Tanzania
mgp81260,mgm4756138.3,Tanzania
